show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,description,classification
s400,Movie,Hidden Figures,Theodore Melfi,United States,2020-09-25,2020.0,PG,128.0,"B, i, o, g, r, a, p, h, i, c, a, l, ,,  , D, r, a, m, a, ,,  , F, a, m, i, l, y",A story about three women at NASA who helped launch John Glenn into orbit.,1.0
s401,TV Show,Magic of Disney's Animal Kingdom,Unknown,United Kingdom,2020-09-25,2020.0,TV-PG,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",Magic of Disney’s Animal Kingdom goes backstage at Walt Disney World Resort. Narrated by Josh Gad.,
s402,Movie,Secret Society of Second-Born Royals,Unknown,United States,2020-09-25,2020.0,TV-PG,99.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , C, o, m, i, n, g,  , o, f,  , A, g, e, ,,  , F, a, m, i, l, y","Sam, a rebellious royal, learns she is part of the Secret Society of Second-Born Royals.",
s403,Movie,The Giant Robber Crab,Moritz Katz,United States,2020-09-25,2020.0,TV-PG,44.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, m, e, n, t, a, r, y","As we follow the robber’s life cycle, we learn that crabs are much more than creepy crawlies.",
s404,TV Show,Wild Central America,Unknown,,2020-09-25,2020.0,TV-PG,1.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s",Presenter Nigel Marven discovers the colourful and varied wildlife and culture of Central America.,
s405,TV Show,Ancient China from Above,Unknown,United States,2020-09-18,2020.0,TV-14,1.0,"D, o, c, u, s, e, r, i, e, s, ,,  , H, i, s, t, o, r, i, c, a, l",Archaeologist Allan Maca reveals the amazing wonders of Ancient China like never before.,
s406,TV Show,Becoming,Unknown,United States,2020-09-18,2020.0,TV-PG,1.0,"A, n, t, h, o, l, o, g, y, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y","Becoming chronicles the origin stories of world-class entertainers, musicians and athletes.",
s407,TV Show,Coop & Cami Ask The World,Unknown,United States,2020-09-18,2020.0,TV-G,2.0,"C, o, m, e, d, y, ,,  , F, a, m, i, l, y, ,,  , K, i, d, s","Cooper and Cami Wrather co-host ""Would You Wrather.""",
s408,TV Show,Europe from Above,Unknown,United Kingdom,2020-09-18,2020.0,TV-G,1.0,"D, o, c, u, s, e, r, i, e, s, ,,  , R, e, a, l, i, t, y",Europe from Above takes to the air over Europe’s finest cultural and geographical landmarks.,
s409,Movie,Ever After: A Cinderella Story,Andy Tennant,United States,2020-09-18,2020.0,PG-13,122.0,"D, r, a, m, a, ,,  , R, o, m, a, n, c, e",A young woman falls in love with a prince while pretending to be a princess.,2.0
s410,TV Show,Kingdom of the Mummies,Unknown,United States,2020-09-18,2020.0,TV-14,1.0,"D, o, c, u, s, e, r, i, e, s, ,,  , H, i, s, t, o, r, i, c, a, l, ,,  , R, e, a, l, i, t, y",A team of archaeologists uncover the first Egyptian funeral parlor ever found.,
s411,Movie,Morning Light,Mark Monroe,United States,2020-09-18,2020.0,PG,99.0,"D, o, c, u, m, e, n, t, a, r, y, ,,  , S, p, o, r, t, s","Fifteen rookie sailors race to be part of the ""Morning Light"" crew.",1.0
s412,Movie,Notre Dame: Race Against The Inferno,"Fabrice Gardel, Simon Kessler, Josselin Mahot","United Kingdom, France",2020-09-18,2020.0,TV-PG,45.0,"D, o, c, u, m, e, n, t, a, r, y","On April 15, 2019, Paris’ firefighters gave everything to save the Notre Dame cathedral.",
s413,TV Show,Once Upon a Time,Unknown,United States,2020-09-18,2020.0,TV-PG,7.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , F, a, n, t, a, s, y, ,,  , S, o, a, p,  , O, p, e, r, a,  , /,  , M, e, l, o, d, r, a, m, a",Fairy tale characters inhabit a land of good and evil.,
s414,TV Show,Soy Luna,Unknown,"Argentina, Mexico",2020-09-18,2020.0,TV-G,3.0,"C, o, m, e, d, y, ,,  , C, o, m, i, n, g,  , o, f,  , A, g, e, ,,  , D, r, a, m, a",Luna will learn that love transcends distance.,
s415,TV Show,Violetta,Unknown,Argentina,2020-09-18,2020.0,TV-G,3.0,"C, o, m, i, n, g,  , o, f,  , A, g, e, ,,  , D, r, a, m, a, ,,  , M, u, s, i, c",Violetta is a talented teen following her dream.,
s416,Movie,Christopher Robin,Marc Forster,"United Kingdom, United States",2020-09-11,2020.0,PG,109.0,"D, r, a, m, a, ,,  , F, a, m, i, l, y, ,,  , F, a, n, t, a, s, y",Pooh leaves the Hundred Acre Wood to help grown-up Christopher Robin.,1.0
s417,Movie,D2: The Mighty Ducks,Sam Weisman,United States,2020-09-04,2020.0,PG,107.0,"C, o, m, e, d, y, ,,  , D, r, a, m, a, ,,  , F, a, m, i, l, y",The Mighty Ducks face the meanest team on ice at the Junior Goodwill Games.,1.0
s418,Movie,D3: The Mighty Ducks,Robert Lieberman,United States,2020-09-04,2020.0,PG,104.0,"C, o, m, e, d, y, ,,  , C, o, m, i, n, g,  , o, f,  , A, g, e, ,,  , D, r, a, m, a",The Mighty Ducks inherit a new coach and a new set of problems.,1.0
s419,TV Show,Earth to Ned,Unknown,United States,2020-09-04,2020.0,TV-PG,1.0,"C, o, m, e, d, y, ,,  , P, a, r, o, d, y, ,,  , S, c, i, e, n, c, e,  , F, i, c, t, i, o, n","From the Jim Henson Company, alien commander Ned hosts a late-night talk show with celebrity guests.",
s420,Movie,Trick or Treat,Jack Hannah,United States,2020-09-04,2020.0,TV-G,9.0,"A, n, i, m, a, t, i, o, n, ,,  , F, a, m, i, l, y, ,,  , F, a, n, t, a, s, y","Donald plays a trick on his nephews, but a witch helps them out. See details for advisory.",
s421,Movie,Alice Through the Looking Glass,James Bobin,"United States, United Kingdom",2020-08-28,2020.0,PG,115.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , F, a, n, t, a, s, y",Alice returns to Underland to save the Mad Hatter in a race against time.,1.0
s422,Movie,Phineas and Ferb The Movie: Candace Against the Universe,Unknown,United States,2020-08-28,2020.0,TV-G,86.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , A, n, i, m, a, t, i, o, n, ,,  , C, o, m, e, d, y","Phineas and Ferb set out across the galaxy to rescue Candace, who has been abducted by aliens.",
s423,Movie,Back to the Titanic,Unknown,United Kingdom,2020-08-21,2020.0,TV-PG,44.0,"D, o, c, u, m, e, n, t, a, r, y, ,,  , H, i, s, t, o, r, i, c, a, l",Back to the Titanic documents the first manned dives to Titanic in nearly 15 years.,
s424,Movie,Beauty and the Beast,Bill Condon,United States,2020-08-21,2020.0,PG,138.0,"F, a, m, i, l, y, ,,  , F, a, n, t, a, s, y, ,,  , M, u, s, i, c, a, l",Belle must look beyond the Beast’s exterior to find the true Prince within.,1.0
s425,Movie,Mars: One Day on the Red Planet,Martin Johnson,United States,2020-08-21,2020.0,TV-PG,88.0,"D, o, c, u, m, e, n, t, a, r, y","An epic journey around the real Mars – built from data, as you’ve never seen it before.",
s426,Movie,The One and Only Ivan,Thea Sharrock,United States,2020-08-21,2020.0,PG,95.0,"D, r, a, m, a, ,,  , F, a, m, i, l, y, ,,  , F, a, n, t, a, s, y",An adaptation of the award-winning book about a very special gorilla.,1.0
s427,TV Show,"Weirdest, Bestest, Truest",Unknown,,2020-08-21,2020.0,TV-G,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , K, i, d, s, ,,  , V, a, r, i, e, t, y",Siblings Kirby and Charlie share strange discoveries and fun facts from the world of Weird But True!,
s428,TV Show,Disney Junior T.O.T.S.: Calling All T.O.T.S. (Shorts),Unknown,,2020-08-14,2020.0,TV-Y,1.0,"A, n, i, m, a, t, i, o, n, ,,  , K, i, d, s, ,,  , M, u, s, i, c",What happens after the baby animals are delivered?,
s429,Movie,Disney Zombies 2,Paul Hoen,United States,2020-08-14,2020.0,TV-G,84.0,"C, o, m, i, n, g,  , o, f,  , A, g, e, ,,  , F, a, n, t, a, s, y, ,,  , M, u, s, i, c, a, l",Zed and Addison encounter a group of werewolves!,
s430,Movie,India's Wild Leopards,Unknown,India,2020-08-14,2020.0,TV-14,45.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, m, e, n, t, a, r, y",Cameraman Sandesh Kadur’s mission is to uncover the secretive lives of India’s leopards.,
s431,TV Show,Jungle Animal Rescue,Unknown,United States,2020-08-14,2020.0,TV-PG,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",A team of conservationists and veterinarians helps India’s people and wildlife coexist.,
s432,Movie,Magic Camp,Mark Waters,United States,2020-08-14,2020.0,PG,101.0,"C, o, m, e, d, y, ,,  , F, a, m, i, l, y",A group of misfit campers help a down-on-his-luck magician rediscover his love of magic.,1.0
s433,Movie,Marvel Studios' Ant-Man and the Wasp,Peyton Reed,United States,2020-08-14,2020.0,PG-13,120.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , C, o, m, e, d, y, ,,  , S, c, i, e, n, c, e,  , F, i, c, t, i, o, n",Ant-Man and the Wasp must join forces to uncover secrets from the past.,2.0
s434,TV Show,Nature Boom Time,Unknown,United States,2020-08-14,2020.0,TV-G,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , K, i, d, s","Charlie, Kirby, and Patrick travel around the U.S. to learn about what makes nature awesome.",
s435,TV Show,Sam's Zookeeper Challenge,Unknown,United States,2020-08-14,2020.0,TV-G,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",Sam is put to the test to care for animals in “Zookeeper’s Challenge.”,
s436,TV Show,Scuba Sam's World,Unknown,United States,2020-08-14,2020.0,TV-G,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , K, i, d, s",Take a deep dive and learn all about the beloved sea animals in our oceans!,
s437,TV Show,Spaced Out,Unknown,,2020-08-14,2020.0,TV-G,1.0,"D, o, c, u, s, e, r, i, e, s, ,,  , K, i, d, s",Learn about our universe through imagery taken from the Hubble Space Telescope.,
s438,Movie,The Greatest Showman,Michael Gracey,United States,2020-08-14,2020.0,PG,106.0,"B, i, o, g, r, a, p, h, i, c, a, l, ,,  , D, r, a, m, a, ,,  , F, a, m, i, l, y",A bold and original musical celebrating the birth of show business and dreams coming to life.,1.0
s439,TV Show,Weird But True!,Unknown,United States,2020-08-14,2020.0,TV-G,3.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , K, i, d, s, ,,  , V, a, r, i, e, t, y","Come along as we reveal fun, strange & surprising facts about our world in Weird But True!",
s440,TV Show,Wild Cats of India,Unknown,United States,2020-08-14,2020.0,TV-PG,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",Journey across the country’s landscapes to paint an intimate portrait of India's Wild Cats.,
s441,Movie,Howard,Don Hahn,United States,2020-08-07,2020.0,TV-PG,95.0,"B, i, o, g, r, a, p, h, i, c, a, l, ,,  , D, o, c, u, m, e, n, t, a, r, y, ,,  , M, u, s, i, c","“Howard” is the untold story of Howard Ashman, the brilliant lyricist behind Disney classics.",
s442,Movie,Prince of Persia: The Sands of Time,Mike Newell,United States,2020-08-07,2020.0,PG-13,117.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , F, a, n, t, a, s, y",A rogue prince and rival princess safeguard a magical dagger with the power to reverse time.,2.0
s443,Movie,Star Wars: Galaxy's Edge-Adventure Awaits,Unknown,United States,2020-08-07,2020.0,TV-PG,81.0,"D, o, c, u, m, e, n, t, a, r, y, ,,  , F, a, m, i, l, y",Celebrating Disney’s new land that brings Star Wars to life!,
s444,Movie,The Hidden Kingdoms of China,"Ben Wallis, Emma Fraser, Jess Tombs",United States,2020-08-07,2020.0,TV-PG,88.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, m, e, n, t, a, r, y, ,,  , F, a, m, i, l, y",THE HIDDEN KINGDOMS OF CHINA takes audiences into the secret wilds of China.,
s445,Movie,The Peanuts Movie,Steve Martino,United States,2020-08-07,2020.0,G,89.0,"A, n, i, m, a, t, i, o, n, ,,  , C, o, m, e, d, y, ,,  , F, a, m, i, l, y","Snoopy takes to the skies against The Red Baron, while his pal, Charlie Brown, begins an epic quest.",0.0
s446,TV Show,UFO Europe: The Untold Stories,Unknown,,2020-08-07,2020.0,TV-PG,1.0,"D, o, c, u, s, e, r, i, e, s, ,,  , R, e, a, l, i, t, y",A selection of stories featuring encounters and sightings of the unexplained.,
s447,TV Show,Animal Showdown,Unknown,,2020-07-31,2020.0,TV-G,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",Animals face-off in this surprising competition of the toughest and biggest in the animal kingdom.,
s448,TV Show,Best Job Ever,Unknown,,2020-07-31,2020.0,TV-G,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",Check out the cool jobs Nat Geo explorers do every day!,
s449,Movie,Big Cat Games,Jeremy Turner,,2020-07-31,2020.0,TV-PG,44.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , F, a, m, i, l, y, ,,  , R, e, a, l, i, t, y","Boone Smith hosts a feline showdown as lion, tiger and cheetah battle for top cat title.",
s450,Movie,Black Is King,Beyoncé Knowles-Carter,United States,2020-07-31,2020.0,TV-14,86.0,"D, a, n, c, e, ,,  , M, u, s, i, c, ,,  , M, u, s, i, c, a, l","This visual album from Beyoncé reimagines lessons of ""The Lion King"" for young kings and queens.",
s451,Movie,Cradle of the Gods,Tim Conrad,United Kingdom,2020-07-31,2020.0,TV-PG,45.0,"D, o, c, u, m, e, n, t, a, r, y, ,,  , H, i, s, t, o, r, i, c, a, l","Located on a hilltop sanctuary, G – bekli Tepe in Turkey is the world's first known temple.",
s452,TV Show,Destination World,Unknown,,2020-07-31,2020.0,TV-G,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , K, i, d, s",Check out the continents and find out what makes them unique from each other!,
s453,TV Show,Fearless Adventures with Jack Randall,Unknown,,2020-07-31,2020.0,TV-PG,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y",Check out Jack Randall go head-to-head with all kinds of critters.,
s454,Movie,Hunt for the Abominable Snowman,Dan Oliver,,2020-07-31,2020.0,TV-PG,45.0,"D, o, c, u, m, e, n, t, a, r, y","Across the Himalayas are stories of the yeti, or abominable snowman.",
s455,Movie,Incredibles 2,Brad Bird,United States,2020-07-31,2020.0,PG,118.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , A, n, i, m, a, t, i, o, n, ,,  , F, a, m, i, l, y",The Incredibles spring into action when a dangerous new villain emerges.,1.0
s456,TV Show,King Fishers,Unknown,United Kingdom,2020-07-31,2020.0,TV-PG,1.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s","With so many fishermen and so many fishing disciplines, who is best?",
s457,Movie,Lost Temple of the Inca,Jim Aikman,United States,2020-07-31,2020.0,TV-PG,44.0,"D, o, c, u, m, e, n, t, a, r, y",A scientist discovers artifacts in Peru that could lead him to one of the country’s missing temples.,
s458,TV Show,Marvel Funko Shorts,Unknown,,2020-07-31,2020.0,TV-Y7,2.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , A, n, i, m, a, t, i, o, n, ,,  , A, n, t, h, o, l, o, g, y",Marvel and Funko present Pop! style Marvel heroes.,
s459,TV Show,Muppets Now,Unknown,United States,2020-07-31,2020.0,TV-PG,1.0,"C, o, m, e, d, y, ,,  , F, a, m, i, l, y, ,,  , L, i, f, e, s, t, y, l, e",The Muppets have a brand-new series ready to stream… but only if they can upload it in time.,
s460,Movie,Surviving the Mount St. Helens Disaster,Sophie Harris,United Kingdom,2020-07-31,2020.0,TV-PG,44.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, m, e, n, t, a, r, y",Eyewitness accounts and rare images chart the violent 1980 eruption of Mount St. Helens.,
s461,TV Show,What Sam Sees,Unknown,,2020-07-31,2020.0,TV-G,1.0,"A, n, i, m, a, l, s,  , &,  , N, a, t, u, r, e, ,,  , D, o, c, u, s, e, r, i, e, s, ,,  , F, a, m, i, l, y","Join Sam on an underwater journey and learn about sharks, eels, and more!",
s462,Movie,Pirates of the Caribbean: Dead Men Tell No Tales,"Joachim Rønning, Espen Sandberg",United States,2020-07-24,2020.0,PG-13,129.0,"A, c, t, i, o, n, -, A, d, v, e, n, t, u, r, e, ,,  , F, a, n, t, a, s, y",Captain Jack Sparrow searches for the Trident of Poseidon.,2.0
